,remote_ratio,years_experience,team_size,certifications_count,weekly_hours,ai_tools_hours_per_week,salary_usd,equity_offered_pct,bonus_pct,job_satisfaction_score,interviews_to_offer,upskilling_hours_per_month,fears_ai_automation_score
remote_ratio,1.0,0.0008166277611460242,0.01593227045525784,0.012334249713576217,0.002596962759025394,-0.003021397881090836,0.036406500353902214,-0.0058549102988102565,-0.007356751974742553,0.20094514124513776,-0.015229170577796613,0.003871973578194014,-0.011548947859822682
years_experience,0.0008166277611460242,1.0,-0.010405407090657475,0.21555150495555828,0.2607326734466395,0.06009340910154199,0.4662502950233784,-0.012635338153544597,0.6098486427607789,0.02354994531189604,0.29022051637676316,-0.13269634793294555,-0.2536828648039995
team_size,0.01593227045525784,-0.010405407090657475,1.0,0.021002676875908424,-0.012687190639974867,-0.0025074160769886647,0.021265676954268703,-0.006089206278959628,-0.01229784180678587,0.022382802200626408,0.002054843173916875,0.010185223626702782,-0.009025650302688648
certifications_count,0.012334249713576217,0.21555150495555828,0.021002676875908424,1.0,0.05096394345697661,0.006781117609879838,0.10784071672197826,0.00529483518484719,0.16898495509208655,0.018490674188364385,0.07446411762281989,-0.03554700921999913,-0.05731475642917852
weekly_hours,0.002596962759025394,0.2607326734466395,-0.012687190639974867,0.05096394345697661,1.0,0.026934479943533658,0.13352036005825108,-0.017488948522227085,0.17351640969179755,-0.227398352235873,0.07789779781304618,-0.047595332152534635,-0.06621115505093621
ai_tools_hours_per_week,-0.003021397881090836,0.06009340910154199,-0.0025074160769886647,0.006781117609879838,0.026934479943533658,1.0,0.08028159387962447,0.015728419929858732,0.04645476178480601,0.002153292472214048,0.02259787753477155,-0.02634877466676889,-0.06784081808271453
salary_usd,0.036406500353902214,0.4662502950233784,0.021265676954268703,0.10784071672197826,0.13352036005825108,0.08028159387962447,1.0,-0.1115945484337532,0.3284510838122779,0.17910424379998394,0.1551298138130579,-0.06966241736498589,-0.24141788509001044
equity_offered_pct,-0.0058549102988102565,-0.012635338153544597,-0.006089206278959628,0.00529483518484719,-0.017488948522227085,0.015728419929858732,-0.1115945484337532,1.0,0.000472926449210566,-0.013130261332891663,-0.020227825143047266,0.02964308450054239,0.004311954278739663
bonus_pct,-0.007356751974742553,0.6098486427607789,-0.01229784180678587,0.16898495509208655,0.17351640969179755,0.04645476178480601,0.3284510838122779,0.000472926449210566,1.0,0.04161171985088617,0.2197092318553284,-0.10263362424981885,-0.18400515037980322
job_satisfaction_score,0.20094514124513776,0.02354994531189604,0.022382802200626408,0.018490674188364385,-0.227398352235873,0.002153292472214048,0.17910424379998394,-0.013130261332891663,0.04161171985088617,1.0,0.014654615921350731,0.011806285594304914,-0.04314038156913798
interviews_to_offer,-0.015229170577796613,0.29022051637676316,0.002054843173916875,0.07446411762281989,0.07789779781304618,0.02259787753477155,0.1551298138130579,-0.020227825143047266,0.2197092318553284,0.014654615921350731,1.0,-0.0414219691906669,-0.08419661679861078
upskilling_hours_per_month,0.003871973578194014,-0.13269634793294555,0.010185223626702782,-0.03554700921999913,-0.047595332152534635,-0.02634877466676889,-0.06966241736498589,0.02964308450054239,-0.10263362424981885,0.011806285594304914,-0.0414219691906669,1.0,0.041041124789335075
fears_ai_automation_score,-0.011548947859822682,-0.2536828648039995,-0.009025650302688648,-0.05731475642917852,-0.06621115505093621,-0.06784081808271453,-0.24141788509001044,0.004311954278739663,-0.18400515037980322,-0.04314038156913798,-0.08419661679861078,0.041041124789335075,1.0
